protocol_id,pass_name,config,seed,epoch,epoch_time_ns,scheduler_overhead_ns,num_steps,full_batch_count,partial_batch_count,partial_batch_size,training_examples,avg_loss,loss_finite,loss_change_from_epoch0,peak_allocated_bytes,peak_reserved_bytes
C1-R1-v1.1,throughput,GPU,45,0,4366986511,65569050,54,53,1,2115,267115,0.9730778932571411,True,0.0,3705114112,4896849920
C1-R1-v1.1,throughput,GPU,45,1,4362989515,61424144,54,53,1,2115,267115,0.7017844319343567,True,-0.2712934613227844,3705118208,4896849920
C1-R1-v1.1,throughput,GPU,45,2,4363512768,64072981,54,53,1,2115,267115,0.5446237325668335,True,-0.4284541606903076,3705118208,4896849920
C1-R1-v1.1,throughput,GPU,45,3,4366041440,64976647,54,53,1,2115,267115,0.44685545563697815,True,-0.526222437620163,3705118208,4896849920
C1-R1-v1.1,throughput,GPU,45,4,4368505938,70518425,54,53,1,2115,267115,0.3806600272655487,True,-0.5924178659915924,3705119232,4896849920
