protocol_id,pass_name,config,seed,epoch,epoch_time_ns,scheduler_overhead_ns,num_steps,full_batch_count,partial_batch_count,partial_batch_size,training_examples,avg_loss,loss_finite,loss_change_from_epoch0,peak_allocated_bytes,peak_reserved_bytes
C1-R1-v1.1,throughput,BL,46,0,25928918805,81587355,54,53,1,2115,267115,1.0524535179138184,True,0.0,3704821760,4877975552
C1-R1-v1.1,throughput,BL,46,1,25904915101,63439910,54,53,1,2115,267115,0.8539638519287109,True,-0.19848966598510742,3704821760,4877975552
C1-R1-v1.1,throughput,BL,46,2,26132348108,77308868,54,53,1,2115,267115,0.7247183322906494,True,-0.32773518562316895,3704821760,4877975552
C1-R1-v1.1,throughput,BL,46,3,25780498523,64395473,54,53,1,2115,267115,0.6367740631103516,True,-0.4156794548034668,3704821760,4877975552
C1-R1-v1.1,throughput,BL,46,4,25668024565,63479504,54,53,1,2115,267115,0.5738060474395752,True,-0.47864747047424316,3704821760,4877975552
