protocol_id,config,seed,pass_name,event,epoch,time_ns,timestamp,gpu_index,name,uuid,pstate,clock_graphics_mhz,clock_memory_mhz,temperature_c,power_draw_w,power_limit_w,utilization_gpu_pct,throttle_active,thermal_slowdown,other_compute_processes,raw_gpu_query,raw_process_query,query_error
C1-R1-v1.1,BL,45,trace,before_job,,1785575738352524077,2026/08/01 18:15:38.315,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P0,2010.0,7000.0,54.0,60.97,220.0,0.0,0x0000000000000000,Not Active,,"2026/08/01 18:15:38.315, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P0, 2010, 7000, 54, 60.97, 220.00, 0, 0x0000000000000000, Not Active",,
C1-R1-v1.1,BL,45,trace,after_warmup,,1785575740993501168,2026/08/01 18:15:40.960,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,2010.0,6800.0,52.0,55.71,220.0,70.0,0x0000000000000000,Not Active,,"2026/08/01 18:15:40.960, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 2010, 6800, 52, 55.71, 220.00, 70, 0x0000000000000000, Not Active","291336, /home/hma/miniconda3/bin/python3, 178",
C1-R1-v1.1,BL,45,trace,before_epoch,0,1785575741088916038,2026/08/01 18:15:41.047,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,2010.0,6800.0,51.0,55.71,220.0,70.0,0x0000000000000000,Not Active,,"2026/08/01 18:15:41.047, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 2010, 6800, 51, 55.71, 220.00, 70, 0x0000000000000000, Not Active","291336, /home/hma/miniconda3/bin/python3, 204",
C1-R1-v1.1,BL,45,trace,after_epoch,0,1785575767967429321,2026/08/01 18:16:07.919,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,48.0,53.23,220.0,39.0,0x0000000000000000,Not Active,,"2026/08/01 18:16:07.919, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 48, 53.23, 220.00, 39, 0x0000000000000000, Not Active","291336, /home/hma/miniconda3/bin/python3, 4830",
C1-R1-v1.1,BL,45,trace,before_epoch,1,1785575768032822878,2026/08/01 18:16:07.979,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,48.0,55.68,220.0,17.0,0x0000000000000000,Not Active,,"2026/08/01 18:16:07.979, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 48, 55.68, 220.00, 17, 0x0000000000000000, Not Active","291336, /home/hma/miniconda3/bin/python3, 4830",
C1-R1-v1.1,BL,45,trace,after_epoch,1,1785575794843357364,2026/08/01 18:16:34.795,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,51.0,53.38,220.0,12.0,0x0000000000000000,Not Active,,"2026/08/01 18:16:34.795, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 51, 53.38, 220.00, 12, 0x0000000000000000, Not Active","291336, /home/hma/miniconda3/bin/python3, 4830",
C1-R1-v1.1,BL,45,trace,before_epoch,2,1785575794913163508,2026/08/01 18:16:34.875,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,51.0,54.6,220.0,12.0,0x0000000000000000,Not Active,,"2026/08/01 18:16:34.875, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 51, 54.60, 220.00, 12, 0x0000000000000000, Not Active","291336, /home/hma/miniconda3/bin/python3, 4830",
C1-R1-v1.1,BL,45,trace,after_epoch,2,1785575821827253827,2026/08/01 18:17:01.779,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,54.0,54.4,220.0,12.0,0x0000000000000000,Not Active,,"2026/08/01 18:17:01.779, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 54, 54.40, 220.00, 12, 0x0000000000000000, Not Active","291336, /home/hma/miniconda3/bin/python3, 4830",
C1-R1-v1.1,BL,45,trace,before_epoch,3,1785575821889381354,2026/08/01 18:17:01.857,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,53.0,55.24,220.0,12.0,0x0000000000000000,Not Active,,"2026/08/01 18:17:01.857, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 53, 55.24, 220.00, 12, 0x0000000000000000, Not Active","291336, /home/hma/miniconda3/bin/python3, 4830",
C1-R1-v1.1,BL,45,trace,after_epoch,3,1785575848726921458,2026/08/01 18:17:28.667,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,55.0,55.86,220.0,38.0,0x0000000000000000,Not Active,,"2026/08/01 18:17:28.667, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 55, 55.86, 220.00, 38, 0x0000000000000000, Not Active","291336, /home/hma/miniconda3/bin/python3, 4830",
