protocol_id,pass_name,config,seed,epoch,epoch_time_ns,scheduler_overhead_ns,num_steps,full_batch_count,partial_batch_count,partial_batch_size,training_examples,avg_loss,loss_finite,loss_change_from_epoch0,peak_allocated_bytes,peak_reserved_bytes
C1-R1-v1.1,trace,BL,45,0,26800979238,79690329,54,53,1,2115,267115,1.03793466091156,True,0.0,3704849920,4877975552
C1-R1-v1.1,trace,BL,45,1,26732237725,67131405,54,53,1,2115,267115,0.8452602028846741,True,-0.192674458026886,3704849920,4877975552
C1-R1-v1.1,trace,BL,45,2,26837466223,64896765,54,53,1,2115,267115,0.7195033431053162,True,-0.3184313178062439,3704849920,4877975552
C1-R1-v1.1,trace,BL,45,3,26730399319,70625605,54,53,1,2115,267115,0.6338700652122498,True,-0.4040645956993103,3704849920,4877975552
C1-R1-v1.1,trace,BL,45,4,25800671948,76903693,54,53,1,2115,267115,0.5719403624534607,True,-0.46599429845809937,3704849920,4877975552
