config,seed,throughput_epoch_mean_s,throughput_epoch_sample_sd_s,trace_full_neg_mean_ms,trace_full_neg_population_sd_ms,trace_mean_epoch_population_sd_ms,trace_including_partial_neg_population_sd_ms,trace_excluding_first_global_neg_population_sd_ms,epoch0_avg_loss,epoch4_avg_loss
BL,42,26.175894911799997,0.1649056925104147,418.6319861509434,3.9990790044382964,3.502193726910425,32.394840097261984,4.0028485956739726,1.049480676651001,0.5753459930419922
BL,43,26.435298323799998,0.046937290663309296,416.58045405660374,3.436532255933897,3.072925572650755,32.3911924525401,3.442864412698519,1.0444642305374146,0.5738285183906555
BL,44,26.091404121800004,0.44759326664950916,416.41434543773585,3.367706017647167,3.137348768215627,32.40345294550301,3.3713180749794245,1.0393505096435547,0.5732709765434265
BL,45,26.614496170400002,0.10433972197772502,415.2802948037736,8.304406715828936,3.83293242245337,33.40594626124632,8.320119668645305,1.03793466091156,0.5719403624534607
BL,46,25.8829410204,0.17427296141061457,407.39630629056603,7.1564421840510315,2.722210210916126,32.295902780718926,7.149324448198482,1.0524535179138184,0.5738060474395752
BL,47,26.471153793999996,0.12044448365261076,412.6218318716981,3.0193922666407174,2.735515827548002,32.187387909866516,3.0162865828884926,1.052455186843872,0.5743867754936218
GPU,42,4.3758024186,0.005031004366367857,2.9995127320754715,0.043689096908400525,0.03860991253801972,0.217875217756221,0.04285094711623629,0.9872559309005737,0.38121381402015686
GPU,43,4.3716323972,0.012787424094006876,2.9989672415094337,0.03401670878018643,0.029633813629917884,0.21670464265268125,0.03354784377718268,0.977532148361206,0.3806372880935669
GPU,44,4.3708551426,0.0030370282962362723,3.0324824301886792,0.06439087378084118,0.048713706502504096,0.22560731032251155,0.06422757841666556,0.9771053791046143,0.38190433382987976
GPU,45,4.3609468046,0.008152208593894834,2.9630067735849055,0.042930460653199436,0.036925467266242386,0.21403719649615707,0.042567297300068,0.9730778932571411,0.3806600272655487
GPU,46,4.370355887800001,0.0070658407111620575,3.0114624452830188,0.04407898856172139,0.03326345664204871,0.21786202373690863,0.04375364957376802,1.0050629377365112,0.3842576742172241
GPU,47,4.3692459152,0.004570625097648556,3.010285996226415,0.03410462064976147,0.03056772559362842,0.21604678131814745,0.0326544388576062,0.9965944886207581,0.38412830233573914
