protocol_id,seed,repeat,elapsed_ns,loss,batch_size,neg_num
C1-R1-v1.1,42,0,75448456,1.095097303390503,5000,150
C1-R1-v1.1,42,1,75440013,1.0720411539077759,5000,150
C1-R1-v1.1,42,2,75499513,1.049219012260437,5000,150
C1-R1-v1.1,42,3,75544875,1.026630163192749,5000,150
C1-R1-v1.1,42,4,75699976,1.0042827129364014,5000,150
C1-R1-v1.1,42,5,75557683,0.9821833968162537,5000,150
C1-R1-v1.1,42,6,75512725,0.9603419899940491,5000,150
C1-R1-v1.1,42,7,75712878,0.9387636780738831,5000,150
C1-R1-v1.1,42,8,75505946,0.9174548983573914,5000,150
C1-R1-v1.1,42,9,75730974,0.8964195847511292,5000,150
C1-R1-v1.1,42,10,75524263,0.8756626844406128,5000,150
C1-R1-v1.1,42,11,75487118,0.8551930785179138,5000,150
C1-R1-v1.1,42,12,75711002,0.8350149989128113,5000,150
C1-R1-v1.1,42,13,75473828,0.8151335716247559,5000,150
C1-R1-v1.1,42,14,75670360,0.7955531477928162,5000,150
C1-R1-v1.1,42,15,75466723,0.7762723565101624,5000,150
C1-R1-v1.1,42,16,75514489,0.7573026418685913,5000,150
C1-R1-v1.1,42,17,75693845,0.7386448383331299,5000,150
C1-R1-v1.1,42,18,75518261,0.720302939414978,5000,150
C1-R1-v1.1,42,19,75482162,0.7022777199745178,5000,150
