protocol_id,seed,repeat,elapsed_ns,loss,batch_size,neg_num
C1-R1-v1.1,47,0,76231902,1.0956802368164062,5000,150
C1-R1-v1.1,47,1,75418527,1.0727276802062988,5000,150
C1-R1-v1.1,47,2,75723436,1.0500112771987915,5000,150
C1-R1-v1.1,47,3,75570428,1.027534008026123,5000,150
C1-R1-v1.1,47,4,75697510,1.0052988529205322,5000,150
C1-R1-v1.1,47,5,75539615,0.9833164811134338,5000,150
C1-R1-v1.1,47,6,75442679,0.9615964889526367,5000,150
C1-R1-v1.1,47,7,75514589,0.9401437640190125,5000,150
C1-R1-v1.1,47,8,75560614,0.9189649820327759,5000,150
C1-R1-v1.1,47,9,75445229,0.8980615139007568,5000,150
C1-R1-v1.1,47,10,75607258,0.8774423599243164,5000,150
C1-R1-v1.1,47,11,75464447,0.8571118116378784,5000,150
C1-R1-v1.1,47,12,75452081,0.8370707631111145,5000,150
C1-R1-v1.1,47,13,75529879,0.8173258304595947,5000,150
C1-R1-v1.1,47,14,75451325,0.7978813052177429,5000,150
C1-R1-v1.1,47,15,75454526,0.7787386775016785,5000,150
C1-R1-v1.1,47,16,75437838,0.759903073310852,5000,150
C1-R1-v1.1,47,17,75506989,0.7413830161094666,5000,150
C1-R1-v1.1,47,18,75449009,0.7231758236885071,5000,150
C1-R1-v1.1,47,19,75508609,0.7052781581878662,5000,150
