protocol_id,seed,repeat,elapsed_ns,loss,batch_size,neg_num
C1-R1-v1.1,45,0,76546963,1.0769200325012207,5000,150
C1-R1-v1.1,45,1,75445179,1.0541789531707764,5000,150
C1-R1-v1.1,45,2,75677392,1.031676173210144,5000,150
C1-R1-v1.1,45,3,75434675,1.0094174146652222,5000,150
C1-R1-v1.1,45,4,75470391,0.9874088168144226,5000,150
C1-R1-v1.1,45,5,75477112,0.9656570553779602,5000,150
C1-R1-v1.1,45,6,75680425,0.9441647529602051,5000,150
C1-R1-v1.1,45,7,75700187,0.922938346862793,5000,150
C1-R1-v1.1,45,8,75520058,0.9019830226898193,5000,150
C1-R1-v1.1,45,9,75513427,0.8813105225563049,5000,150
C1-R1-v1.1,45,10,75488383,0.8609257340431213,5000,150
C1-R1-v1.1,45,11,75479979,0.8408288359642029,5000,150
C1-R1-v1.1,45,12,75536804,0.8210219740867615,5000,150
C1-R1-v1.1,45,13,75508192,0.8015122413635254,5000,150
C1-R1-v1.1,45,14,75489252,0.7823004722595215,5000,150
C1-R1-v1.1,45,15,75589922,0.7633911371231079,5000,150
C1-R1-v1.1,45,16,75489667,0.7447865009307861,5000,150
C1-R1-v1.1,45,17,75734824,0.7264886498451233,5000,150
C1-R1-v1.1,45,18,75513204,0.7085011601448059,5000,150
C1-R1-v1.1,45,19,75645198,0.6908262968063354,5000,150
