protocol_id,seed,repeat,elapsed_ns,loss,batch_size,neg_num
C1-R1-v1.1,43,0,75462621,1.069262981414795,5000,150
C1-R1-v1.1,43,1,75463686,1.0466820001602173,5000,150
C1-R1-v1.1,43,2,75504145,1.0243381261825562,5000,150
C1-R1-v1.1,43,3,75506558,1.0022377967834473,5000,150
C1-R1-v1.1,43,4,75738334,0.9803919792175293,5000,150
C1-R1-v1.1,43,5,75769016,0.9588006734848022,5000,150
C1-R1-v1.1,43,6,75786153,0.937472939491272,5000,150
C1-R1-v1.1,43,7,75480822,0.9164146780967712,5000,150
C1-R1-v1.1,43,8,75668749,0.8956300616264343,5000,150
C1-R1-v1.1,43,9,75506222,0.8751254081726074,5000,150
C1-R1-v1.1,43,10,75521843,0.8549058437347412,5000,150
C1-R1-v1.1,43,11,75508880,0.8349723219871521,5000,150
C1-R1-v1.1,43,12,75491021,0.8153323531150818,5000,150
C1-R1-v1.1,43,13,75510539,0.7959908246994019,5000,150
C1-R1-v1.1,43,14,75714218,0.7769510746002197,5000,150
C1-R1-v1.1,43,15,75512105,0.7582144737243652,5000,150
C1-R1-v1.1,43,16,75480424,0.7397825717926025,5000,150
C1-R1-v1.1,43,17,75742627,0.7216625213623047,5000,150
C1-R1-v1.1,43,18,75497060,0.7038553357124329,5000,150
C1-R1-v1.1,43,19,75516038,0.68636155128479,5000,150
