protocol_id,seed,repeat,elapsed_ns,loss,batch_size,neg_num
C1-R1-v1.1,44,0,76192469,1.0654175281524658,5000,150
C1-R1-v1.1,44,1,75478631,1.042677402496338,5000,150
C1-R1-v1.1,44,2,75492948,1.0201727151870728,5000,150
C1-R1-v1.1,44,3,75507714,0.9979145526885986,5000,150
C1-R1-v1.1,44,4,75593900,0.9759156703948975,5000,150
C1-R1-v1.1,44,5,75520082,0.9541826844215393,5000,150
C1-R1-v1.1,44,6,75534604,0.9327183365821838,5000,150
C1-R1-v1.1,44,7,75522395,0.9115283489227295,5000,150
C1-R1-v1.1,44,8,75490307,0.8906158208847046,5000,150
C1-R1-v1.1,44,9,75490869,0.8699859976768494,5000,150
C1-R1-v1.1,44,10,75753510,0.849646270275116,5000,150
C1-R1-v1.1,44,11,75498395,0.829600989818573,5000,150
C1-R1-v1.1,44,12,75504431,0.8098530173301697,5000,150
C1-R1-v1.1,44,13,75517680,0.7904086709022522,5000,150
C1-R1-v1.1,44,14,75508918,0.7712720036506653,5000,150
C1-R1-v1.1,44,15,75732189,0.7524453401565552,5000,150
C1-R1-v1.1,44,16,75487434,0.7339329719543457,5000,150
C1-R1-v1.1,44,17,75532497,0.7157390713691711,5000,150
C1-R1-v1.1,44,18,75506434,0.6978639960289001,5000,150
C1-R1-v1.1,44,19,75509796,0.6803097724914551,5000,150
