label,config,seed,attempt,start_time_ns,end_time_ns,elapsed_ns,returncode,stdout_path,stderr_path,stdout_sha256,stderr_sha256
throughput_GPU_seed45_attempt2,GPU,45,2,1785576464571798811,1785576490554593387,25982794576,0,logs/throughput_GPU_seed45_attempt2.stdout.log,logs/throughput_GPU_seed45_attempt2.stderr.log,258b645088359af571f490e7e83d7ff818b568627949aacacf0441f6538dab8e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
throughput_BL_seed45_attempt2,BL,45,2,1785576490554908992,1785576629054460908,138499551916,0,logs/throughput_BL_seed45_attempt2.stdout.log,logs/throughput_BL_seed45_attempt2.stderr.log,13db26a22d90c60b2a3928e8fadeb2c0feda413fab0c43f90a43db22ede6904f,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
