protocol_id,pass_name,config,seed,epoch,step,batch_size_actual,is_partial,is_first_measured_step,zero_grad_ns,neg_time_ns,positive_tensor_build_ns,forward_ns,backward_ns,optimizer_ns,component_sum_ns,total_step_ns,timing_residual_ns,loss
C1-R1-v1.1,trace,GPU,44,0,0,5000,False,True,107354,3130739,1100594,36367629,38257043,1281372,80244731,80247938,3207,1.1350046396255493
C1-R1-v1.1,trace,GPU,44,0,1,5000,False,False,51499,3109890,1116324,36626145,38170794,1177561,80252213,80255025,2812,1.1426998376846313
C1-R1-v1.1,trace,GPU,44,0,2,5000,False,False,51338,3016408,1101825,36346527,38155194,1182514,79853806,79855973,2167,1.1454473733901978
C1-R1-v1.1,trace,GPU,44,0,3,5000,False,False,46370,2991632,1109184,36319326,38111386,1168731,79746629,79748809,2180,1.1306159496307373
C1-R1-v1.1,trace,GPU,44,0,4,5000,False,False,46838,3002054,1107764,36355584,38132017,1173551,79817808,79819898,2090,1.113903284072876
C1-R1-v1.1,trace,GPU,44,0,5,5000,False,False,49505,3030293,1106245,36342049,38172803,1170327,79871222,79873419,2197,1.1082806587219238
C1-R1-v1.1,trace,GPU,44,0,6,5000,False,False,49833,3000960,1103258,36429660,38175598,1169118,79928427,79930677,2250,1.0802661180496216
C1-R1-v1.1,trace,GPU,44,0,7,5000,False,False,47402,2994511,1105574,36486478,38151280,1173165,79958410,79960573,2163,1.0969219207763672
C1-R1-v1.1,trace,GPU,44,0,8,5000,False,False,47539,3011697,1109998,36588071,38142407,1176212,80075924,80077992,2068,1.0792593955993652
C1-R1-v1.1,trace,GPU,44,0,9,5000,False,False,47715,3061876,1104323,36324757,38153893,1173283,79865847,79867993,2146,1.090423583984375
C1-R1-v1.1,trace,GPU,44,0,10,5000,False,False,50250,3011638,1104987,36588785,38168052,1175127,80098839,80100849,2010,1.0770524740219116
C1-R1-v1.1,trace,GPU,44,0,11,5000,False,False,49852,3005532,1103158,36366404,38145564,1171850,79842360,79844548,2188,1.059112787246704
C1-R1-v1.1,trace,GPU,44,0,12,5000,False,False,49482,3003323,1101984,36599521,38170657,1170964,80095931,80098137,2206,1.068899154663086
C1-R1-v1.1,trace,GPU,44,0,13,5000,False,False,52044,2997993,1112845,36583268,38155395,1171739,80073284,80078206,4922,1.055670142173767
C1-R1-v1.1,trace,GPU,44,0,14,5000,False,False,49928,2992111,1113580,36340475,38148793,1173000,79817887,79820036,2149,1.0482789278030396
C1-R1-v1.1,trace,GPU,44,0,15,5000,False,False,49132,2999525,1108429,36352690,38142078,1172098,79823952,79826201,2249,1.0434002876281738
C1-R1-v1.1,trace,GPU,44,0,16,5000,False,False,48041,3001330,1106041,36574753,38170443,1173376,80073984,80076074,2090,1.0473575592041016
C1-R1-v1.1,trace,GPU,44,0,17,5000,False,False,46902,2995100,1110632,36341716,38168186,1172169,79834705,79836798,2093,1.0226742029190063
C1-R1-v1.1,trace,GPU,44,0,18,5000,False,False,46808,3002266,1116371,36364471,38098519,1167002,79795437,79797613,2176,1.0267055034637451
C1-R1-v1.1,trace,GPU,44,0,19,5000,False,False,47617,2996448,1111257,36626022,38178512,1171424,80131280,80133430,2150,1.017389178276062
C1-R1-v1.1,trace,GPU,44,0,20,5000,False,False,46530,2993521,1127407,36364686,38162258,1174586,79868988,79871171,2183,0.9963951706886292
