protocol_id,pass_name,config,seed,epoch,step,batch_size_actual,is_partial,is_first_measured_step,zero_grad_ns,neg_time_ns,positive_tensor_build_ns,forward_ns,backward_ns,optimizer_ns,component_sum_ns,total_step_ns,timing_residual_ns,loss
C1-R1-v1.1,trace,GPU,43,0,36,5000,False,False,47727,3005367,1093052,36438461,38158631,1174511,79917749,79920073,2324,0.9164793491363525
C1-R1-v1.1,trace,GPU,43,0,37,5000,False,False,50567,2990273,1100378,36394429,38171868,1170302,79877817,79880184,2367,0.9076949954032898
C1-R1-v1.1,trace,GPU,43,0,38,5000,False,False,49490,3032442,1099099,36463496,38175157,1173835,79993519,79995815,2296,0.9037345051765442
C1-R1-v1.1,trace,GPU,43,0,39,5000,False,False,47944,3011740,1093215,36415263,38181438,1174601,79924201,79926588,2387,0.8986524343490601
C1-R1-v1.1,trace,GPU,43,0,40,5000,False,False,47915,3009479,1097346,36663631,38161184,1174775,80154330,80156607,2277,0.9113826751708984
C1-R1-v1.1,trace,GPU,43,0,41,5000,False,False,48285,3013667,1098336,36423656,38154709,1170455,79909108,79911430,2322,0.9061859250068665
C1-R1-v1.1,trace,GPU,43,0,42,5000,False,False,48142,3033925,1098874,36673643,38170765,1169241,80194590,80196925,2335,0.8865001797676086
C1-R1-v1.1,trace,GPU,43,0,43,5000,False,False,47889,3004879,1104362,36397337,38141268,1170972,79866707,79869097,2390,0.8497218489646912
C1-R1-v1.1,trace,GPU,43,0,44,5000,False,False,48037,3007108,1097446,36448502,38167925,1170032,79939050,79941458,2408,0.8892371654510498
C1-R1-v1.1,trace,GPU,43,0,45,5000,False,False,47616,3016380,1132993,36650628,38139491,1172369,80159477,80161933,2456,0.8752458095550537
C1-R1-v1.1,trace,GPU,43,0,46,5000,False,False,48185,2995957,1098091,36405377,38165165,1170333,79883108,79885504,2396,0.8573113083839417
C1-R1-v1.1,trace,GPU,43,0,47,5000,False,False,48424,3012188,1141986,36635492,38192311,1175143,80205544,80207883,2339,0.8751472234725952
C1-R1-v1.1,trace,GPU,43,0,48,5000,False,False,47880,2981296,1102682,36384557,38161758,1173629,79851802,79854224,2422,0.8440719842910767
C1-R1-v1.1,trace,GPU,43,0,49,5000,False,False,47805,2991737,1143960,36649458,38174874,1173846,80181680,80184084,2404,0.842738687992096
C1-R1-v1.1,trace,GPU,43,0,50,5000,False,False,48390,2984058,1121459,36583138,38147603,1176153,80060801,80063159,2358,0.837648332118988
C1-R1-v1.1,trace,GPU,43,0,51,5000,False,False,49342,3008552,1104332,36670832,38193158,1198943,80225159,80227440,2281,0.8437064290046692
C1-R1-v1.1,trace,GPU,43,0,52,5000,False,False,48095,3007865,1098454,36600908,38157814,1171062,80084198,80086502,2304,0.84412682056427
C1-R1-v1.1,trace,GPU,43,0,53,2115,True,False,47605,1436183,524044,15452902,17040377,1175767,35676878,35679264,2386,0.8371195793151855
C1-R1-v1.1,trace,GPU,43,1,0,5000,False,False,119396,2869898,1096785,36526384,38225652,1201464,80039579,80042681,3102,0.7772648334503174
C1-R1-v1.1,trace,GPU,43,1,1,5000,False,False,49194,2914847,1107124,36555596,38189523,1173727,79990011,79992238,2227,0.8008519411087036
C1-R1-v1.1,trace,GPU,43,1,2,5000,False,False,48007,2936266,1106944,36604366,38151194,1170876,80017653,80019998,2345,0.7733442187309265
C1-R1-v1.1,trace,GPU,43,1,3,5000,False,False,48045,2991084,1153047,36441731,38148874,1174610,79957391,79959775,2384,0.7924963235855103
C1-R1-v1.1,trace,GPU,43,1,4,5000,False,False,47767,3018357,1105484,36394067,38269160,1169248,80004083,80006391,2308,0.7790407538414001
C1-R1-v1.1,trace,GPU,43,1,5,5000,False,False,48178,2993543,1104255,36611229,38181628,1178316,80117149,80119442,2293,0.786362886428833
C1-R1-v1.1,trace,GPU,43,1,6,5000,False,False,48377,2990298,1117696,36386247,38173221,1171542,79887381,79889684,2303,0.7849351763725281
C1-R1-v1.1,trace,GPU,43,1,7,5000,False,False,47361,3028268,1107063,36662256,38172581,1170073,80187602,80190240,2638,0.7656260132789612
C1-R1-v1.1,trace,GPU,43,1,8,5000,False,False,47547,3006919,1106237,36465736,38133150,1171575,79931164,79933465,2301,0.7660390138626099
C1-R1-v1.1,trace,GPU,43,1,9,5000,False,False,47764,3009321,1174573,36619039,38167093,1172440,80190230,80192644,2414,0.7763674259185791
C1-R1-v1.1,trace,GPU,43,1,10,5000,False,False,48481,3010653,1108513,36370574,38166216,1173745,79878182,79880391,2209,0.768890917301178
C1-R1-v1.1,trace,GPU,43,1,11,5000,False,False,47655,2988314,1126601,36651526,38161655,1171824,80147575,80150110,2535,0.769749641418457
C1-R1-v1.1,trace,GPU,43,1,12,5000,False,False,48751,3000533,1106180,36640009,38168632,1171295,80135400,80137793,2393,0.7574020624160767
C1-R1-v1.1,trace,GPU,43,1,13,5000,False,False,47541,2993872,1108893,36478413,38174059,1170280,79973058,79975325,2267,0.7592981457710266
C1-R1-v1.1,trace,GPU,43,1,14,5000,False,False,48029,3011263,1111211,36480280,38143249,1174618,79968650,79971019,2369,0.7433247566223145
C1-R1-v1.1,trace,GPU,43,1,15,5000,False,False,48654,3007956,1108524,36482168,38139795,1176767,79963864,79966214,2350,0.7523015141487122
C1-R1-v1.1,trace,GPU,43,1,16,5000,False,False,50728,3006463,1105312,36387482,38201240,1170511,79921736,79924173,2437,0.7426884770393372
C1-R1-v1.1,trace,GPU,43,1,17,5000,False,False,48213,3015209,1107953,36395089,38157790,1173688,79897942,79900342,2400,0.7256378531455994
C1-R1-v1.1,trace,GPU,43,1,18,5000,False,False,48155,2995955,1101155,36416385,38114983,1173789,79850422,79852767,2345,0.7292737364768982
C1-R1-v1.1,trace,GPU,43,1,19,5000,False,False,48173,2996389,1104177,36427678,38170098,1172106,79918621,79920997,2376,0.7349824905395508
C1-R1-v1.1,trace,GPU,43,1,20,5000,False,False,50107,3008513,1113238,36419334,38167295,1172139,79930626,79933050,2424,0.7209038138389587
C1-R1-v1.1,trace,GPU,43,1,21,5000,False,False,49320,2998815,1102393,36645950,38124220,1224105,80144803,80147133,2330,0.7267509698867798
C1-R1-v1.1,trace,GPU,43,1,22,5000,False,False,51219,3015124,1101397,36522834,38167365,1177383,80035322,80037709,2387,0.7252693176269531
C1-R1-v1.1,trace,GPU,43,1,23,5000,False,False,47822,3004756,1111998,36389429,38167486,1171594,79893085,79895450,2365,0.6992653608322144
C1-R1-v1.1,trace,GPU,43,1,24,5000,False,False,47174,3003814,1102321,36433580,38159604,1174013,79920506,79922839,2333,0.709549069404602
C1-R1-v1.1,trace,GPU,43,1,25,5000,False,False,47803,2996635,1100308,36406737,38165176,1174180,79890839,79893258,2419,0.7108474969863892
C1-R1-v1.1,trace,GPU,43,1,26,5000,False,False,48372,3006738,1105316,36659985,38155053,1170628,80146092,80148420,2328,0.7100013494491577
C1-R1-v1.1,trace,GPU,43,1,27,5000,False,False,48358,3006218,1106389,36632889,38110162,1171797,80075813,80078177,2364,0.7025946378707886
C1-R1-v1.1,trace,GPU,43,1,28,5000,False,False,49060,3009049,1105676,36417755,38162169,1167759,79911468,79913811,2343,0.6894277930259705
C1-R1-v1.1,trace,GPU,43,1,29,5000,False,False,47894,3005825,1103137,36389059,38193304,1172173,79911392,79913802,2410,0.7047454714775085
C1-R1-v1.1,trace,GPU,43,1,30,5000,False,False,47765,2994694,1103509,36581264,38207106,1171838,80106176,80108551,2375,0.7024674415588379
C1-R1-v1.1,trace,GPU,43,1,31,5000,False,False,51624,3000784,1096333,36400101,38229016,1174408,79952266,79954630,2364,0.6923776268959045
C1-R1-v1.1,trace,GPU,43,1,32,5000,False,False,48495,3005771,1100702,36650093,38177595,1171335,80153991,80156381,2390,0.696806788444519
C1-R1-v1.1,trace,GPU,43,1,33,5000,False,False,48095,2992132,1106364,36616521,38152396,1170981,80086489,80088862,2373,0.6784158945083618
C1-R1-v1.1,trace,GPU,43,1,34,5000,False,False,47862,3018284,1111063,36683763,38180049,1174130,80215151,80217541,2390,0.6787582635879517
C1-R1-v1.1,trace,GPU,43,1,35,5000,False,False,47659,3014239,1110880,36378125,38164828,1177324,79893055,79895431,2376,0.6852253079414368
C1-R1-v1.1,trace,GPU,43,1,36,5000,False,False,49327,3009554,1094889,36644588,38145400,1172468,80116226,80118582,2356,0.6749466061592102
C1-R1-v1.1,trace,GPU,43,1,37,5000,False,False,48803,2989790,1104984,36407815,38178067,1171081,79900540,79902797,2257,0.666195273399353
C1-R1-v1.1,trace,GPU,43,1,38,5000,False,False,50797,3005763,1106946,36434437,38163996,1172684,79934623,79937030,2407,0.6635059714317322
C1-R1-v1.1,trace,GPU,43,1,39,5000,False,False,48082,3033809,1102356,36404089,38196018,1172122,79956476,79958883,2407,0.6630094051361084
C1-R1-v1.1,trace,GPU,43,1,40,5000,False,False,48841,3006133,1102005,36400378,38183545,1173613,79914515,79916895,2380,0.6712395548820496
C1-R1-v1.1,trace,GPU,43,1,41,5000,False,False,49751,3046254,1098091,36429545,38188589,1171479,79983709,79985940,2231,0.6693159341812134
C1-R1-v1.1,trace,GPU,43,1,42,5000,False,False,49783,3033283,1108142,36519337,38171605,1171662,80053812,80056173,2361,0.6592018604278564
C1-R1-v1.1,trace,GPU,43,1,43,5000,False,False,47382,3031115,1109002,36406914,38156602,1172695,79923710,79926155,2445,0.6273473501205444
C1-R1-v1.1,trace,GPU,43,1,44,5000,False,False,50200,3013854,1103545,36592123,38164581,1171258,80095561,80097925,2364,0.6608152389526367
C1-R1-v1.1,trace,GPU,43,1,45,5000,False,False,48567,3020587,1110240,36629713,38164607,1180257,80153971,80156355,2384,0.6531298160552979
C1-R1-v1.1,trace,GPU,43,1,46,5000,False,False,48865,2999442,1106099,36419605,38159844,1174094,79907949,79910289,2340,0.6363495588302612
C1-R1-v1.1,trace,GPU,43,1,47,5000,False,False,48714,3008929,1108392,36400332,38185355,1174103,79925825,79928186,2361,0.6542758345603943
C1-R1-v1.1,trace,GPU,43,1,48,5000,False,False,48882,2995696,1111641,36388614,38165878,1171467,79882178,79884656,2478,0.6271131634712219
C1-R1-v1.1,trace,GPU,43,1,49,5000,False,False,48127,3009859,1113005,36422546,38162164,1173010,79928711,79931081,2370,0.6273394823074341
C1-R1-v1.1,trace,GPU,43,1,50,5000,False,False,48757,3003919,1112586,36394545,38154952,1174678,79889437,79891841,2404,0.6257293224334717
C1-R1-v1.1,trace,GPU,43,1,51,5000,False,False,48657,3077883,1114067,36417251,38158321,1174202,79990381,79992767,2386,0.6302354335784912
C1-R1-v1.1,trace,GPU,43,1,52,5000,False,False,48228,3000373,1111607,36404333,38181484,1170736,79916761,79919083,2322,0.6350874900817871
C1-R1-v1.1,trace,GPU,43,1,53,2115,True,False,47468,1412377,521649,15546510,16997070,1173066,35698140,35700432,2292,0.6162455677986145
C1-R1-v1.1,trace,GPU,43,2,0,5000,False,False,118167,2892068,1103686,36410374,38225191,1200305,79949791,79952841,3050,0.5827868580818176
C1-R1-v1.1,trace,GPU,43,2,1,5000,False,False,52184,2914860,1111598,36384628,38173240,1175056,79811566,79813971,2405,0.6050425171852112
C1-R1-v1.1,trace,GPU,43,2,2,5000,False,False,49226,2981318,1113014,36364393,38161211,1169640,79838802,79841164,2362,0.5778271555900574
C1-R1-v1.1,trace,GPU,43,2,3,5000,False,False,47864,2986269,1106344,36654063,38142209,1170756,80107505,80109855,2350,0.5962677597999573
C1-R1-v1.1,trace,GPU,43,2,4,5000,False,False,48434,3002674,1102496,36405521,38176393,1169746,79905264,79907633,2369,0.588347315788269
C1-R1-v1.1,trace,GPU,43,2,5,5000,False,False,47595,3003293,1102192,36420396,38168987,1170109,79912572,79915048,2476,0.5927852392196655
C1-R1-v1.1,trace,GPU,43,2,6,5000,False,False,48388,2980292,1098078,36647475,38162740,1171496,80108469,80110782,2313,0.5899634957313538
