protocol_id,pass_name,config,seed,epoch,step,batch_size_actual,is_partial,is_first_measured_step,zero_grad_ns,neg_time_ns,positive_tensor_build_ns,forward_ns,backward_ns,optimizer_ns,component_sum_ns,total_step_ns,timing_residual_ns,loss
C1-R1-v1.1,trace,BL,46,0,0,5000,False,True,116115,416216832,1645447,36301374,38348794,1288022,493916584,493919923,3339,1.1816710233688354
C1-R1-v1.1,trace,BL,46,0,1,5000,False,False,54878,415358358,1619483,36072055,38486124,1226142,492817040,492820575,3535,1.160895586013794
C1-R1-v1.1,trace,BL,46,0,2,5000,False,False,58331,415817284,1665020,36073312,38352339,1235957,493202243,493204664,2421,1.1401989459991455
C1-R1-v1.1,trace,BL,46,0,3,5000,False,False,55434,417291662,1627987,37367993,38516095,1231730,496090901,496093604,2703,1.14750337600708
C1-R1-v1.1,trace,BL,46,0,4,5000,False,False,52341,414494869,1665221,37476898,38526645,1230252,493446226,493449170,2944,1.1468961238861084
C1-R1-v1.1,trace,BL,46,0,5,5000,False,False,53885,414693169,1633135,37599990,38542319,1230485,493752983,493755566,2583,1.1287968158721924
C1-R1-v1.1,trace,BL,46,0,6,5000,False,False,52685,415261182,1678272,37851435,38563287,1262145,494669006,494671558,2552,1.136176347732544
C1-R1-v1.1,trace,BL,46,0,7,5000,False,False,53055,417758863,1641859,37351994,38506438,1227875,496540084,496542597,2513,1.1247730255126953
C1-R1-v1.1,trace,BL,46,0,8,5000,False,False,52829,414388859,1591177,37635805,38515378,1235590,493419638,493422354,2716,1.1085280179977417
C1-R1-v1.1,trace,BL,46,0,9,5000,False,False,55454,415213438,1662819,37454261,38524636,1227708,494138316,494141234,2918,1.1218907833099365
C1-R1-v1.1,trace,BL,46,0,10,5000,False,False,54341,415081361,1641009,37351294,38489748,1231510,493849263,493851569,2306,1.123275637626648
C1-R1-v1.1,trace,BL,46,0,11,5000,False,False,53769,417103839,1600383,37608453,38497823,1230571,496094838,496097385,2547,1.1163047552108765
C1-R1-v1.1,trace,BL,46,0,12,5000,False,False,54349,416201403,1632965,37607700,38605487,1228723,495330627,495333088,2461,1.1160119771957397
C1-R1-v1.1,trace,BL,46,0,13,5000,False,False,52348,415389581,1658810,37430132,38513451,1231393,494275715,494278661,2946,1.1040234565734863
C1-R1-v1.1,trace,BL,46,0,14,5000,False,False,52915,416223075,1681998,37606146,38505387,1228491,495298012,495300687,2675,1.1059826612472534
C1-R1-v1.1,trace,BL,46,0,15,5000,False,False,53936,415375067,1653179,37506352,38500917,1229852,494319303,494321862,2559,1.0982856750488281
C1-R1-v1.1,trace,BL,46,0,16,5000,False,False,60447,415107861,1615730,37608429,38530423,1233888,494156778,494159626,2848,1.0975229740142822
C1-R1-v1.1,trace,BL,46,0,17,5000,False,False,53100,412918937,1700505,37333971,38520146,1230974,491757633,491760169,2536,1.1012758016586304
C1-R1-v1.1,trace,BL,46,0,18,5000,False,False,53917,414242845,1637939,37609429,38464483,1226344,493234957,493237491,2534,1.0755177736282349
C1-R1-v1.1,trace,BL,46,0,19,5000,False,False,59583,418450521,1659278,37342309,38531984,1229688,497273363,497275973,2610,1.0922187566757202
C1-R1-v1.1,trace,BL,46,0,20,5000,False,False,54677,416078885,1645456,37589042,38534636,1233078,495135774,495138565,2791,1.0764491558074951
C1-R1-v1.1,trace,BL,46,0,21,5000,False,False,59438,417301744,1701934,37578797,38464864,1233369,496340146,496343000,2854,1.0805103778839111
C1-R1-v1.1,trace,BL,46,0,22,5000,False,False,53114,415668192,1633045,37502877,38513119,1227127,494597474,494599837,2363,1.0816664695739746
C1-R1-v1.1,trace,BL,46,0,23,5000,False,False,55519,415893296,1688881,37567079,38516463,1231739,494952977,494955831,2854,1.0562617778778076
C1-R1-v1.1,trace,BL,46,0,24,5000,False,False,51427,414260782,1615716,37614247,38484994,1227597,493254763,493257196,2433,1.0576961040496826
C1-R1-v1.1,trace,BL,46,0,25,5000,False,False,53109,413551899,1607066,37630508,38524872,1232156,492599610,492602194,2584,1.084754467010498
C1-R1-v1.1,trace,BL,46,0,26,5000,False,False,59784,413951902,1634246,37521398,38473698,1233173,492874201,492876910,2709,1.0376675128936768
C1-R1-v1.1,trace,BL,46,0,27,5000,False,False,53567,416089877,1607302,37573549,38473788,1230060,495028143,495030711,2568,1.0452150106430054
C1-R1-v1.1,trace,BL,46,0,28,5000,False,False,54248,414226547,1622199,37302284,38476410,1230616,492912304,492914876,2572,1.0364536046981812
C1-R1-v1.1,trace,BL,46,0,29,5000,False,False,53415,413317146,1614423,37379811,38569259,1228886,492162940,492165571,2631,1.050980806350708
C1-R1-v1.1,trace,BL,46,0,30,5000,False,False,52439,414151392,1614727,37366527,38518658,1228870,492932613,492935064,2451,1.0240118503570557
C1-R1-v1.1,trace,BL,46,0,31,5000,False,False,54266,417519188,1634194,37572582,38553263,1226892,496560385,496562779,2394,1.0311461687088013
C1-R1-v1.1,trace,BL,46,0,32,5000,False,False,54273,417324186,1648935,37586664,38487856,1227340,496329254,496331850,2596,1.021766185760498
C1-R1-v1.1,trace,BL,46,0,33,5000,False,False,57034,413407370,1626663,37572943,38529490,1227685,492421185,492423800,2615,1.0289063453674316
C1-R1-v1.1,trace,BL,46,0,34,5000,False,False,53100,413553768,1624862,37307686,38519519,1234771,492293706,492296174,2468,1.0234206914901733
C1-R1-v1.1,trace,BL,46,0,35,5000,False,False,52810,413446572,1611058,37567727,38486318,1231612,492396097,492398990,2893,1.0176365375518799
C1-R1-v1.1,trace,BL,46,0,36,5000,False,False,53289,417891487,1623838,37594824,38510984,1228840,496903262,496906237,2975,1.0112475156784058
C1-R1-v1.1,trace,BL,46,0,37,5000,False,False,53618,412779467,1644214,37301856,38523788,1231930,491534873,491537591,2718,1.0146021842956543
C1-R1-v1.1,trace,BL,46,0,38,5000,False,False,54882,412663417,1649663,37593678,38493446,1229041,491684127,491686900,2773,1.0202103853225708
C1-R1-v1.1,trace,BL,46,0,39,5000,False,False,53315,416436401,1624806,37618277,38476911,1228203,495437913,495440789,2876,0.9931340217590332
C1-R1-v1.1,trace,BL,46,0,40,5000,False,False,53210,411613814,1577334,37342688,38506599,1232612,490326257,490329250,2993,0.9932780265808105
C1-R1-v1.1,trace,BL,46,0,41,5000,False,False,54028,415381979,1628015,37348141,38499110,1227831,494139104,494141828,2724,0.9885903596878052
C1-R1-v1.1,trace,BL,46,0,42,5000,False,False,52544,412303150,1643050,37596409,38520466,1230971,491346590,491349354,2764,0.9801321625709534
C1-R1-v1.1,trace,BL,46,0,43,5000,False,False,53342,413507071,1612504,37613432,38473324,1231000,492490673,492493531,2858,0.9769685864448547
C1-R1-v1.1,trace,BL,46,0,44,5000,False,False,53207,413690648,1626201,37453984,38501581,1227787,492553408,492556210,2802,0.9854203462600708
C1-R1-v1.1,trace,BL,46,0,45,5000,False,False,51980,413924412,1627190,37595255,38479770,1228223,492906830,492909453,2623,0.990077018737793
C1-R1-v1.1,trace,BL,46,0,46,5000,False,False,53331,413944351,1615749,37469508,38494151,1234846,492811936,492814489,2553,0.9581783413887024
C1-R1-v1.1,trace,BL,46,0,47,5000,False,False,52949,413221330,1634982,37421744,38523697,1230879,492085581,492088123,2542,0.9825835824012756
C1-R1-v1.1,trace,BL,46,0,48,5000,False,False,54408,413069231,1630036,37592675,38519081,1227941,492093372,492095917,2545,0.9708282351493835
C1-R1-v1.1,trace,BL,46,0,49,5000,False,False,56794,414199346,1654921,37364061,38495328,1231559,493002009,493004708,2699,0.9673104286193848
C1-R1-v1.1,trace,BL,46,0,50,5000,False,False,52552,411639291,1739982,37630638,38508203,1230665,490801331,490804617,3286,0.9690344929695129
C1-R1-v1.1,trace,BL,46,0,51,5000,False,False,54080,415183510,1633843,37602567,38516501,1230235,494220736,494223373,2637,0.9605645537376404
C1-R1-v1.1,trace,BL,46,0,52,5000,False,False,53850,414872297,1602075,37560688,38519302,1226121,493834333,493837123,2790,0.9518315196037292
C1-R1-v1.1,trace,BL,46,0,53,2115,True,False,55194,175794755,700051,16003528,17348135,1235138,211136801,211139471,2670,0.9361979365348816
