protocol_id,pass_name,config,seed,epoch,step,batch_size_actual,is_partial,is_first_measured_step,zero_grad_ns,neg_time_ns,positive_tensor_build_ns,forward_ns,backward_ns,optimizer_ns,component_sum_ns,total_step_ns,timing_residual_ns,loss
C1-R1-v1.1,trace,GPU,42,0,0,5000,False,True,110575,3144351,1090641,36614565,38264580,1272025,80496737,80499795,3058,1.165590763092041
C1-R1-v1.1,trace,GPU,42,0,1,5000,False,False,50745,2980093,1103299,36369932,38176115,1184446,79864630,79867439,2809,1.152025818824768
C1-R1-v1.1,trace,GPU,42,0,2,5000,False,False,48068,2975520,1100426,36571113,38158409,1177997,80031533,80033612,2079,1.1456488370895386
C1-R1-v1.1,trace,GPU,42,0,3,5000,False,False,46941,2975953,1094135,36374394,38119393,1179706,79790522,79792649,2127,1.1332606077194214
C1-R1-v1.1,trace,GPU,42,0,4,5000,False,False,48063,3013116,1095774,36358438,38216653,1173395,79905439,79907665,2226,1.1218433380126953
C1-R1-v1.1,trace,GPU,42,0,5,5000,False,False,48007,3017188,1099386,36373725,38172257,1170326,79880889,79882932,2043,1.1271300315856934
C1-R1-v1.1,trace,GPU,42,0,6,5000,False,False,47787,3012272,1097002,36354261,38164207,1172553,79848082,79850099,2017,1.114583969116211
C1-R1-v1.1,trace,GPU,42,0,7,5000,False,False,48162,3022203,1097801,36352154,38162454,1174140,79856914,79859184,2270,1.111984372138977
C1-R1-v1.1,trace,GPU,42,0,8,5000,False,False,49741,2990110,1095838,36588610,38146149,1174812,80045260,80047471,2211,1.097773790359497
C1-R1-v1.1,trace,GPU,42,0,9,5000,False,False,47694,3022275,1098515,36660198,38169529,1171497,80169708,80171920,2212,1.1004763841629028
C1-R1-v1.1,trace,GPU,42,0,10,5000,False,False,51776,3013492,1106621,36339918,38140102,1178073,79829982,79832077,2095,1.0875266790390015
C1-R1-v1.1,trace,GPU,42,0,11,5000,False,False,48089,3014528,1095230,36370066,38164502,1171017,79863432,79865540,2108,1.0789653062820435
C1-R1-v1.1,trace,GPU,42,0,12,5000,False,False,48253,3000929,1098305,36388233,38172502,1173948,79882170,79884365,2195,1.0830459594726562
C1-R1-v1.1,trace,GPU,42,0,13,5000,False,False,47174,3024934,1095715,36380970,38179833,1172266,79900892,79903013,2121,1.0552494525909424
C1-R1-v1.1,trace,GPU,42,0,14,5000,False,False,47881,3006973,1095251,36617724,38174892,1172432,80115153,80117322,2169,1.0469714403152466
C1-R1-v1.1,trace,GPU,42,0,15,5000,False,False,47687,3004733,1096394,36624561,38144393,1170889,80088657,80090777,2120,1.046399712562561
